"z","year","buffer","biomass","perc_change","agc_flux"
"29.739641295_-4.844423061","2007",20,8.84677314758301,NA,NA
"29.739641295_-4.844423061","2008",20,11.3294095993042,28.0626213683286,2.48263645172119
"29.739641295_-4.844423061","2009",20,8.13085269927979,-28.2323352509106,-3.19855690002441
"29.739641295_-4.844423061","2010",20,5.65749597549438,-30.4194014485651,-2.47335672378541
"29.748624447_-4.799507301","2007",20,2.99997925758362,NA,NA
"29.748624447_-4.799507301","2008",20,3.89776802062988,29.9264990175098,0.89778876304626
"29.748624447_-4.799507301","2009",20,1.45643782615662,-62.6340557352805,-2.44133019447326
"29.748624447_-4.799507301","2010",20,1.42622256278992,-2.07460029010882,-0.0302152633666999
"29.748624447_-4.826456757","2007",20,4.04945135116577,NA,NA
"29.748624447_-4.826456757","2008",20,5.43699550628662,34.26499134806,1.38754415512085
"29.748624447_-4.826456757","2009",20,3.38464736938477,-37.7478358135258,-2.05234813690185
"29.748624447_-4.826456757","2010",20,3.04945135116577,-9.90342513228871,-0.335196018219
"29.748624447_-4.835439909","2007",20,5.81233596801758,NA,NA
"29.748624447_-4.835439909","2008",20,4.78353929519653,-17.7002272147035,-1.02879667282105
"29.748624447_-4.835439909","2009",20,2.37901735305786,-50.2665870133692,-2.40452194213867
"29.748624447_-4.835439909","2010",20,1.88268113136292,-20.8630769782733,-0.49633622169494
"29.748624447_-4.844423061","2007",20,7.56504964828491,NA,NA
"29.748624447_-4.844423061","2008",20,5.42802667617798,-28.248631158573,-2.13702297210693
"29.748624447_-4.844423061","2009",20,4.42954683303833,-18.3948956537315,-0.99847984313965
"29.748624447_-4.844423061","2010",20,2.01818418502808,-54.4381341681456,-2.41136264801025
"29.748624447_-4.853406213","2007",20,4.38751077651978,NA,NA
"29.748624447_-4.853406213","2008",20,5.23854923248291,19.3968402429357,0.85103845596313
"29.748624447_-4.853406213","2009",20,1.36561667919159,-73.9313955336384,-3.87293255329132
"29.748624447_-4.853406213","2010",20,3.19571113586426,134.012309937225,1.83009445667267
"29.748624447_-4.862389365","2007",20,0.325455665588379,NA,NA
"29.748624447_-4.862389365","2008",20,2.05230093002319,530.593087483333,1.72684526443481
"29.748624447_-4.862389365","2009",20,1.94134056568146,-5.40663226910276,-0.11096036434173
"29.748624447_-4.862389365","2010",20,0.343185871839523,-82.3222221846966,-1.59815469384194
